analysis_type,dataset,method,dimension,budget,budget_spent,failure_recall_mean,failure_cluster_coverage_mean,boundary_coverage_mean,boundary_enrichment_mean,coverage_radius_mean,compactness_score,pareto_metric_count
static_boundary,cobalt_threshold30,weighted_itr_cvt,8,12,12.0,0.175,1.0,0.1233333333333333,0.6166666666666666,4.489974771846825,-4.489974771846825,5
static_boundary,cobalt_threshold30,weighted_itr_cvt,16,12,12.0,0.1583333333333333,0.975,0.1466666666666666,0.7333333333333333,8.89826765190448,-8.89826765190448,5
static_boundary,cobalt_threshold30,ward,16,12,12.0,0.1944444444444444,1.0,0.0666666666666666,0.3333333333333333,8.482318345386094,-8.482318345386094,5
static_boundary,cobalt_threshold30,weighted_itr_cvt,full,12,12.0,0.175,0.9375,0.1833333333333333,0.9166666666666666,19.8825149635514,-19.8825149635514,5
static_boundary,cobalt_threshold30,random,tanimoto,12,12.0,0.1916666666666666,0.725,0.19375,0.96875,0.5437293727088492,-0.5437293727088492,5
static_boundary,cobalt_threshold30,weighted_itr_cvt,tanimoto,12,12.0,0.1666666666666666,0.75,0.25,1.25,0.4913591468428002,-0.4913591468428002,5
static_boundary,cobalt_threshold30,fps,tanimoto,12,12.0,0.2166666666666666,0.875,0.11875,0.59375,0.5517425538016217,-0.5517425538016217,5
static_boundary,cobalt_threshold30,kennard_stone,tanimoto,12,12.0,0.2222222222222222,1.0,0.0625,0.3125,0.5594577933368808,-0.5594577933368808,5
static_boundary,cobalt_threshold30,repulsive_fps,tanimoto,12,12.0,0.2069444444444444,0.825,0.153125,0.765625,0.556277646345387,-0.556277646345387,5
static_boundary,cobalt_threshold50,random,2,12,12.0,0.2056818181818181,0.4125,0.1966666666666666,0.9833333333333332,2.3707929608848417,-2.3707929608848417,5
static_boundary,cobalt_threshold50,ward,2,12,12.0,0.2045454545454545,1.0,0.1333333333333333,0.6666666666666666,0.7153376660609491,-0.7153376660609491,5
static_boundary,cobalt_threshold50,random,8,12,12.0,0.2102272727272727,0.3875,0.2333333333333333,1.1666666666666663,7.139740191981284,-7.139740191981284,5
static_boundary,cobalt_threshold50,cvt,16,12,12.0,0.2204545454545454,1.0,0.0966666666666666,0.4833333333333333,8.534144721850776,-8.534144721850776,5
static_boundary,cobalt_threshold50,weighted_itr_cvt,16,12,12.0,0.1977272727272727,1.0,0.1466666666666666,0.7333333333333333,8.89716595866014,-8.89716595866014,5
static_boundary,cobalt_threshold50,fps,16,12,12.0,0.2284090909090909,1.0,0.02,0.1,14.941560723814144,-14.941560723814144,5
static_boundary,cobalt_threshold50,weighted_itr_cvt,full,12,12.0,0.1931818181818181,0.9375,0.18,0.9,19.85736909576708,-19.85736909576708,5
static_boundary,cobalt_threshold50,fps,full,12,12.0,0.234090909090909,1.0,0.0233333333333333,0.1166666666666666,25.72611409744369,-25.72611409744369,5
static_boundary,cobalt_threshold50,random,tanimoto,12,12.0,0.1931818181818181,0.85,0.2,1.0,0.5437293727088492,-0.5437293727088492,5
static_boundary,cobalt_threshold50,weighted_itr_cvt,tanimoto,12,12.0,0.1818181818181818,1.0,0.3333333333333333,1.6666666666666663,0.4913591468428002,-0.4913591468428002,5
static_boundary,cobalt_threshold50,fps,tanimoto,12,12.0,0.2147727272727272,1.0,0.0866666666666666,0.4333333333333333,0.5517425538016217,-0.5517425538016217,5
static_boundary,cobalt_threshold50,kennard_stone,tanimoto,12,12.0,0.2272727272727272,1.0,0.0666666666666666,0.3333333333333333,0.5594577933368808,-0.5594577933368808,5
static_boundary,cobalt_threshold50,repulsive_fps,tanimoto,12,12.0,0.2125,1.0,0.11,0.55,0.5535008976963192,-0.5535008976963192,5
